APV                2              11               0               0
             113           24.82           4.265
             114          -18.22           4.032
             115          -35.45           4.348
             116           21.58            4.65
             117           24.84           4.203
             118           3.714           3.793
             119          -32.74           4.482
             120           15.09           4.451
             121           3.926           3.925
             122          -26.45           4.166
             123          -59.11           4.629
             124           19.37           4.291
             125           10.42           3.954
             126           -35.3           4.279
             127          -82.36           5.179
APV                2              11               0               2
               0            -108           15.34
               1          -19.11           7.963
               2           -29.8           5.657
               3           -24.4           5.552
               4           56.98           6.093
               5           35.15           5.113
               6         -0.8741           4.682
               7          -44.91           5.821
               8           45.38           5.655
               9           20.06           4.994
              10          -11.57           5.018
              11          -69.76           5.879
              12            42.6           5.502
              13           8.532           4.863
              14          -17.34           5.107
              15          -75.06           6.065
              16           38.35           5.507
              17           28.49           4.892
              18          -13.74           4.734
              19          -45.02               5
              20           55.27           5.124
              21           34.93           4.909
              22          -13.71           4.857
              23          -47.38           5.151
              24           48.36           5.134
              25           21.26           4.861
              26          -10.18           4.825
              27          -72.87           5.298
              28           45.44           4.948
              29           27.98           4.817
              30          -27.12           4.935
              31          -72.35           5.418
              32           47.98           5.488
              33           42.74           5.542
              34           7.194           5.476
              35          -27.58           5.528
              36           53.43           5.154
              37           25.46           5.682
              38          -9.286           5.679
              39          -54.28           5.248
              40           59.64           5.095
              41           14.63           5.731
              42           -19.4           5.868
              43          -65.74           5.253
              44           34.94           4.989
              45         -0.4844           5.357
              46          -19.79           5.669
              47          -78.83            5.51
              48           57.28           5.471
              49           18.93           4.897
              50          -13.67           4.884
              51          -38.52           5.131
              52           44.46            5.34
              53           27.76           5.001
              54          -6.523            4.73
              55          -74.04           5.303
              56           43.25            5.19
              57           9.495           4.868
              58          -7.481           4.754
              59          -77.99           5.464
              60           35.93           5.072
              61           13.65           4.887
              62          -12.27           4.954
              63          -76.83           5.544
              64           56.74           6.209
              65           39.32           5.078
              66          -3.272           4.647
              67          -40.51           5.665
              68           56.46           5.688
              69            12.1           4.931
              70          -12.44           4.976
              71           -56.5           5.719
              72           53.74           5.601
              73           15.15           4.942
              74          -19.89           5.053
              75          -62.07            5.92
              76           32.89           5.044
              77           8.847           4.816
              78          -36.68           5.179
              79          -94.89           6.292
              80           54.53           5.157
              81            38.3           4.908
              82          -18.42           4.845
              83          -52.25           4.913
              84              45           5.065
              85            27.1           4.914
              86          -11.92            4.82
              87          -64.34           5.105
              88           52.56           4.997
              89           5.345           4.571
              90          -13.95           4.786
              91          -70.86            5.27
              92           30.95           4.858
              93           12.56           4.765
